更新时间: 2026-06-07 19:30:27（北京时间）

更新时间,#genre#
2026-06-07 19:30:27,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
河北卫视,http://123.60.75.150:540/udp/239.45.1.44:5140$上海市电信
河北卫视,http://39.77.75.225:4000/udp/239.253.254.112:8000$山东联通
河南卫视,http://123.60.75.150:540/udp/239.45.0.3:5140$上海市电信
河南卫视,http://39.77.75.225:4000/udp/239.253.254.190:8000$山东联通
湖北卫视,http://123.60.75.150:540/udp/239.45.3.239:5140$上海市电信
湖北卫视,http://39.77.75.225:4000/udp/239.253.254.88:8000$山东联通
江西卫视,http://123.60.75.150:540/udp/239.45.1.122:5140$上海市电信
江西卫视,http://39.77.75.225:4000/udp/239.253.254.47:8000$山东联通
四川卫视,http://123.60.75.150:540/udp/239.45.1.23:5140$上海市电信
四川卫视,http://123.60.75.150:540/udp/239.45.1.83:5140$上海市电信
四川卫视,http://39.77.75.225:4000/udp/239.253.254.180:8000$山东联通
重庆卫视,http://123.60.75.150:540/udp/239.45.1.84:5140$上海市电信
重庆卫视,http://39.77.75.225:4000/udp/239.253.254.38:8000$山东联通
贵州卫视,http://123.60.75.150:540/udp/239.45.1.80:5140$上海市电信
贵州卫视,http://39.77.75.225:4000/udp/239.253.254.113:8000$山东联通
云南卫视,http://123.60.75.150:540/udp/239.45.0.4:5140$上海市电信
云南卫视,http://123.60.75.150:540/udp/239.45.3.206:5140$上海市电信
云南卫视,http://39.77.75.225:4000/udp/239.253.254.196:8000$山东联通
天津卫视,http://123.60.75.150:540/udp/239.45.1.124:5140$上海市电信
天津卫视,http://39.77.75.225:4000/udp/239.253.254.89:8000$山东联通
安徽卫视,http://123.60.75.150:540/udp/239.45.1.120:5140$上海市电信
安徽卫视,http://123.60.75.150:540/udp/239.45.3.143:5140$上海市电信
安徽卫视,http://39.77.75.225:4000/udp/239.253.254.87:8000$山东联通
山东卫视,http://123.60.75.150:540/udp/239.45.3.238:5140$上海市电信
山东卫视,http://39.77.75.225:4000/udp/239.253.254.78:8000$山东联通
辽宁卫视,http://123.60.75.150:540/udp/239.45.1.123:5140$上海市电信
辽宁卫视,http://39.77.75.225:4000/udp/239.253.254.92:8000$山东联通
黑龙江卫视,http://123.60.75.150:540/udp/239.45.3.232:5140$上海市电信
黑龙江卫视,http://39.77.75.225:4000/udp/239.253.254.93:8000$山东联通
吉林卫视,http://123.60.75.150:540/udp/239.45.0.6:5140$上海市电信
吉林卫视,http://123.60.75.150:540/udp/239.45.3.248:5140$上海市电信
吉林卫视,http://39.77.75.225:4000/udp/239.253.254.173:8000$山东联通
